iter	Passed	Remaining
0	153	153403
1	155	77353
2	155	51797
3	156	38996
4	157	31352
5	158	26313
6	159	22655
7	160	19941
8	161	17798
9	162	16082
10	163	14689
11	164	13523
12	165	12544
13	166	11700
14	167	10987
15	168	10345
16	169	9774
17	169	9265
18	170	8815
19	171	8411
20	172	8046
21	173	7713
22	174	7402
23	175	7121
24	175	6863
25	176	6624
26	177	6409
27	178	6207
28	179	6024
29	181	5858
30	182	5690
31	183	5536
32	183	5388
33	184	5250
34	185	5121
35	186	4999
36	187	4883
37	188	4773
38	189	4668
39	190	4566
40	191	4472
41	192	4383
42	193	4300
43	194	4219
44	194	4138
45	195	4064
46	196	3990
47	197	3923
48	198	3856
49	199	3793
50	200	3733
51	201	3672
52	202	3614
53	203	3560
54	204	3507
55	204	3454
56	205	3405
57	206	3354
58	207	3306
59	208	3262
60	209	3218
61	209	3175
62	210	3134
63	211	3094
64	212	3055
65	213	3019
66	214	2984
67	215	2947
68	215	2912
69	216	2878
70	217	2846
71	218	2814
72	219	2784
73	219	2752
74	220	2723
75	221	2697
76	222	2669
77	223	2642
78	224	2616
79	225	2589
80	226	2564
81	226	2539
82	227	2510
83	228	2486
84	228	2462
85	229	2439
86	230	2417
87	231	2395
88	232	2374
89	232	2353
90	233	2333
91	234	2315
92	235	2296
93	236	2277
94	237	2258
95	237	2240
96	238	2224
97	239	2207
98	240	2191
99	241	2174
100	242	2157
101	243	2141
102	244	2125
103	244	2109
104	245	2092
105	246	2077
106	247	2063
107	247	2048
108	248	2034
109	249	2020
110	250	2006
111	251	1992
112	252	1979
113	253	1966
114	253	1954
115	254	1942
116	255	1930
117	256	1917
118	257	1904
119	258	1893
120	259	1881
121	259	1869
122	260	1859
123	261	1847
124	262	1835
125	263	1824
126	263	1813
127	264	1803
128	265	1794
129	266	1784
130	267	1774
131	268	1764
132	269	1754
133	269	1744
134	270	1736
135	271	1726
136	272	1716
137	273	1707
138	274	1699
139	275	1691
140	276	1682
141	276	1673
142	277	1664
143	278	1656
144	279	1648
145	280	1639
146	281	1631
147	281	1623
148	282	1615
149	283	1607
150	284	1599
151	285	1591
152	286	1583
153	286	1575
154	287	1567
155	288	1559
156	289	1552
157	289	1544
158	290	1537
159	291	1529
160	291	1521
161	292	1513
162	293	1506
163	294	1499
164	295	1493
165	295	1486
166	296	1480
167	297	1474
168	298	1467
169	299	1462
170	300	1456
171	301	1449
172	301	1443
173	302	1437
174	303	1430
175	304	1424
176	305	1418
177	305	1412
178	306	1407
179	307	1401
180	308	1395
